Run,Time(ms),Features
1,45.164,4624
2,45.060,4624
3,45.185,4624
4,45.195,4624
5,45.093,4624
6,45.013,4624
7,45.098,4624
8,45.802,4624
9,45.957,4624
10,44.929,4624
11,45.026,4624
12,45.756,4624
13,46.817,4624
14,46.855,4624
15,45.748,4624
16,45.181,4624
17,44.961,4624
18,45.049,4624
19,45.023,4624
20,45.183,4624
21,45.136,4624
22,45.279,4624
23,45.211,4624
24,45.157,4624
25,45.385,4624
26,44.921,4624
27,45.233,4624
28,45.123,4624
29,45.190,4624
30,45.213,4624
31,45.091,4624
32,45.077,4624
33,45.122,4624
34,45.086,4624
35,45.076,4624
36,45.206,4624
37,45.086,4624
38,44.934,4624
39,45.375,4624
40,45.048,4624
41,45.156,4624
42,45.089,4624
43,45.110,4624
44,44.978,4624
45,45.064,4624
46,45.174,4624
47,45.015,4624
48,45.105,4624
49,45.172,4624
50,45.153,4624
51,45.089,4624
52,45.226,4624
53,45.127,4624
54,45.031,4624
55,45.236,4624
56,45.096,4624
57,45.022,4624
58,44.924,4624
59,45.259,4624
60,45.045,4624
61,45.114,4624
62,45.243,4624
63,45.089,4624
64,45.017,4624
65,45.334,4624
66,45.150,4624
67,45.041,4624
68,45.192,4624
69,45.112,4624
70,45.008,4624
71,45.000,4624
72,45.224,4624
73,45.393,4624
74,45.615,4624
75,45.024,4624
76,45.003,4624
77,45.557,4624
78,46.040,4624
79,45.514,4624
80,44.977,4624
81,45.033,4624
82,45.147,4624
83,45.140,4624
84,45.316,4624
85,45.162,4624
86,45.054,4624
87,45.067,4624
88,45.140,4624
89,45.204,4624
90,44.991,4624
91,45.285,4624
92,45.122,4624
93,44.990,4624
94,45.144,4624
95,45.141,4624
96,45.223,4624
97,45.052,4624
98,45.368,4624
99,45.049,4624
100,45.054,4624
